planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
23 Lib c,Confirmed,0.82,0.03,0.03,0.232,0.021,0.021,5000.0,400.0,400.0,5.8,2009,2024-05-28,Published in a refereed paper,Radial Velocity,HD 134987 c,23 Lib,228.3666667,-25.3091667,12.782,12.386,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,5740.0,23.0,23.0,HD 134987
24 Boo b,Confirmed,0.91,0.11,0.11,0.232,0.021,0.021,30.3506,0.0078,0.0078,0.19,2018,2023-08-07,Published in a refereed paper,Radial Velocity,unkown,24 Bo&ouml;,217.162500013,49.845000026,12.782,12.386,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.13,10.64,0.59,0.59,4893.0,15.0,15.0,unkown
24 Sex b,Confirmed,1.84,0.11,0.11,0.232,0.021,0.021,452.8,4.5,4.5,1.333,2010,2021-10-02,Published in a refereed paper,Radial Velocity,unkown,24 Sex,155.868205808,-0.902243675771,12.782,12.386,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,5098.0,44.0,44.0,unkown
24 Sex c,Confirmed,1.52,0.2,0.2,0.232,0.021,0.021,883.0,14.0,14.0,2.08,2010,2021-10-02,Published in a refereed paper,Radial Velocity,unkown,24 Sex,155.868205808,-0.902243675771,12.782,12.386,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,5098.0,44.0,44.0,unkown
27 Hya Ab,Confirmed,10.0,0.11,0.11,0.232,0.021,0.021,3400.0,0.000107,0.000107,5.9,2009,2024-07-01,Published in a refereed paper,Radial Velocity,ADS 7311 Ab,27 Hya A,140.12089558335916,-9.55570335704889,3.25,2.824,68.4818,1.71845,1.71845,0.01,0.1,0.1,2.32,0.052,0.052,9.69,0.055,0.055,5078.0,124.0,124.0,ADS 7311 A
2M1207 A,Confirmed,19.9,5.0,5.0,3.5,0.021,0.021,11.456085,0.000107,0.000107,0.12,2005,2024-03-28,Published in a refereed paper,Imaging,TWA 27 A,unkown,181.88944813535,-39.54833795144,12.782,12.386,64.673,0.4864,0.4864,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M1207 b,Confirmed,5.5,0.5,0.5,0.232,0.021,0.021,11.456085,0.000107,0.000107,42.0,2004,2024-03-28,Published in a refereed paper,Imaging,"2MASS J12073346-3932539 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b, TWA 27 b, TWA27 B",unkown,181.88944813535,-39.54833795144,12.782,12.386,64.673,0.4864,0.4864,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M 1253+2734 b,Confirmed,8.3,0.2,0.2,0.232,0.021,0.021,24.31,0.021,0.021,0.12,2021,2022-02-08,Published in a refereed paper,Radial Velocity,unkown,2M 1253+2734,193.254166667,27.57194446,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M1510 A,Confirmed,28.1,1.9,1.9,1.57,1.56,1.56,11.456085,0.000107,0.000107,0.12,2002,2024-08-21,Published in a refereed paper,"Primary Transit, Astrometry",2MASS J15104786-2818174 A,unkown,227.6991666826,-28.304722232,12.782,12.386,36.6,0.3,0.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M1510 Ab,Confirmed,37.5,2.8,2.8,1.57,1.56,1.56,20.902,0.006,0.006,0.0627,2020,2024-06-26,Published in a refereed paper,Primary Transit,2MASS J15104786-2818174 Ab,unkown,227.6991666826,-28.304722232,12.782,12.386,36.6,0.3,0.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M1510 Ac,Confirmed,17.68,2.1,2.1,0.232,0.021,0.021,10950.0,0.000107,0.000107,4.4,2019,2024-06-26,Published in a refereed paper,Imaging,unkown,unkown,227.6991666826,-28.304722232,12.782,12.386,36.6,0.3,0.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2M1510 B,Confirmed,38.0,0.11,0.11,1.57,0.021,0.021,11.456085,0.000107,0.000107,250.0,2002,2024-06-26,Published in a refereed paper,Imaging,"2MASS J15104761-2818234, 2MASS J15104786-2818174 B",unkown,227.6991666826,-28.304722232,12.782,12.386,36.6,0.3,0.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2MASS J0001+1535,Confirmed,33.0,4.0,4.0,1.22,0.02,0.02,11.456085,0.000107,0.000107,0.12,2022,2024-07-29,Published in a refereed paper,Imaging,2MASS J00011217+1535355,unkown,0.300687111371219,15.5932068139479,12.782,12.386,31.6163,1.8013,1.8013,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2MASS J0004-6410,Confirmed,19.18,6.41,6.41,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2010,2024-07-01,Published in a refereed paper,Imaging,2MASS J00040288-6410358,unkown,1.012006,-64.176613,12.782,12.386,47.4,3.2,3.2,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
2MASS J0010+1715 b,Confirmed,57.5,7.5,7.5,0.232,0.021,0.021,11.456085,0.000107,0.000107,739.0,2024,2024-07-05,Published in a refereed paper,Imaging,2MASS J00103250+1715490 b,2MASS J0010+1715,2.635,17.25,12.782,12.386,40.877,0.2,0.2,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,2MASS J00103250+1715490
2MASS J0019-6226,Confirmed,14.88,4.51,4.51,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2015,2024-12-17,Published in a refereed paper,Imaging,"2MASS J00191296-6226005, HIP 1481 (ABC)b",HIP 1481 A,4.608333342,-63.477500018,12.782,12.386,40.82,3.73,3.73,0.01,0.1,0.1,1.17,0.16,0.16,1.11,0.05,0.05,6147.0,126.66,126.66,HD 1466
